Id,Section,Name,Deps on (1),Deps on (2),Deps on (3),Deps on (4),Estimate,Low Estimate,High Estimate,Effective End,Weather-dependent,Can Expedite,Date,Duration,ES,EF,LF,LS,Slack
T0,terrace,terrace start,P0,,,,,,,,,,,0,0,0,0,0,0
T1,terrace,window surrounds,T0,,,,8,,,,,,,8,0,8,8,0,0
T2,terrace,waterproofing,T1,,,,7,,,,,,,7,8,15,15,8,0
T3,terrace,insulation,T2,,,,3,,,,,,,3,15,18,18,15,0
T4,terrace,deck concrete,T3,,,,,5,10,,yes,,,7.5,18,25.5,25.5,18,0
T5,terrace,stairs concrete,T4,,,,10,,,,,yes,,10,25.5,35.5,35.5,25.5,0
T6,terrace,aluminum rails,T4,,,,5,,,,,,,5,25.5,30.5,35.5,30.5,5
T7,terrace,masonry,T6,T5,,,10,,,,,,,10,35.5,45.5,45.5,35.5,0
T8,terrace,cleanup and ACI punch list,P12,,,,1,,,,,,,1,45.5,46.5,46.5,45.5,0
B0,bookstore,bookstore start,P0,,,,,,,,,,,0,0,0,4.5,4.5,4.5
B1,bookstore,drywall,B0,,,,,2,4,,,,,3,0,3,7.5,4.5,4.5
B2,bookstore,hard tile,B1,,,,10,,,,,,,10,3,13,22.5,12.5,9.5
B3,bookstore,stone columns,B1,,,,5,,,,,,,5,3,8,22.5,17.5,14.5
B4,bookstore,millwork,B1,,,,,10,16,,,yes,,13,3,16,20.5,7.5,4.5
B5,bookstore,casework,B4,,,,5,,,,,,,5,16,21,25.5,20.5,4.5
B6,bookstore,flooring,B5,,,,10,,,,,,,10,21,31,35.5,25.5,4.5
B7,bookstore,glass installation,B3,B2,,,3,,,,,,,3,13,16,25.5,22.5,9.5
B8,bookstore,painting,B7,,,,10,,,,,,,10,16,26,35.5,25.5,9.5
B11,bookstore,cleanup and ACI punch list,P14,,,,1,,,,,,,1,41,42,46.5,45.5,4.5
B9,bookstore,doors and hardware,B8,B6,,,,5,8,,,,,6.5,31,37.5,45.5,39,8
B10,bookstore,MEP,B8,B6,,,10,,,,,,,10,31,41,45.5,35.5,4.5
S0,sanctuary,sanctuary start,P0,,,,,,,,,,,0,0,0,8,8,8
S1,sanctuary,drywall,S0,,,,16,,,,,,,16,0,16,35.5,19.5,19.5
S2.1,sanctuary,core drill for rails (left side),S0,,,,1,,,,,,,1,0,1,11.5,10.5,10.5
S2.2,sanctuary,core drill for rails (right side),S0,,,,1,,,,,,,1,0,1,9,8,8
S3.1,sanctuary,install rails (left side),S2.1,,,,2.5,,,,,,,2.5,1,3.5,40.5,38,37
S3.2,sanctuary,install rails (right side),S2.2,,,,2.5,,,,,,,2.5,1,3.5,40.5,38,37
S4.1,sanctuary,install carpeting at seats (left side),S2.1,,,,7.5,,,,,,,7.5,1,8.5,19,11.5,10.5
S4.2,sanctuary,install carpeting at seats (right side),S2.2,,,,7.5,,,,,,,7.5,1,8.5,19,11.5,10.5
S5,sanctuary,carpeting at rails,S3.1,S3.2,,,5,,,,,,,5,3.5,8.5,45.5,40.5,37
S6.1,sanctuary,"wood paneling, trim and stage (left side)",S4.1,,,,12.5,,,,,,,12.5,8.5,21,53.75,41.25,32.75
S6.2,sanctuary,"wood paneling, trim and stage (right side)",S4.2,,,,12.5,,,,,,,12.5,8.5,21,35.5,23,14.5
S7,sanctuary,painting,S10,S8,S4.1,S4.2,20,,,,,,,20,11,31,39,19,8
S8,sanctuary,concrete floor staining,S10,,,,5,,,,,,,5,6,11,19,14,8
S9.1,sanctuary,installation of seats (left side),S1,S6.1,,,10,,,,,,,10,21,31,63.75,53.75,32.75
S9.2,sanctuary,installation of seats (right side),S1,S6.2,,,10,,,,,,,10,21,31,45.5,35.5,14.5
S10,sanctuary,wood stage steps,S2.2,,,,5,,,,,,,5,1,6,14,9,8
S11,sanctuary,"install carpet (steps, flats, aisles)",S10,,,,5,,,,,,,5,6,11,45.5,40.5,34.5
S12,sanctuary,install doors and hardware,S7,S6.2,,,,5,8,,,,,6.5,31,37.5,45.5,39,8
S13,sanctuary,cleanup and ACI punch list,P11,,,,1,,,,,,,1,37.5,38.5,46.5,45.5,8
L0,lobby,lobby start,P0,,,,,,,,,,,0,0,0,7,7,7
L1,lobby,millwork for reception,L0,,,,3,,,,,,,3,0,3,10,7,7
L2,lobby,millwork for walls and rails,L0,,,,10,,,,,,,10,0,10,25.5,15.5,15.5
L3,lobby,hard ceiling,L0,,,,15,,,,,,,15,0,15,25.5,10.5,10.5
L4,lobby,install drywall,L0,,,,15,,,,,,,15,0,15,25.5,10.5,10.5
L5,lobby,painting,L4,L3,L2,,5,,,,,,,5,15,20,30.5,25.5,10.5
L6,lobby,concrete for carpet areas,L1,,,,,5,8,,,,,6.5,3,9.5,16.5,10,7
L7,lobby,hard tile,L4,,,,5,,,,,,,5,15,20,63.75,58.75,43.75
L8,lobby,wood flooring install,L6,,,,,20,28,,,"yes, formalize acclimatization precisely",,24,9.5,33.5,40.5,16.5,7
L9,lobby,"other floors, carpeting",L8,,,,5,,,,,,,5,33.5,38.5,45.5,40.5,7
L10,lobby,public restrooms,L3,L4,,,9,,,,,,,9,15,24,35.5,26.5,11.5
L11,lobby,glass and chandeliers,L3,L4,,,3,,,,,,,3,15,18,63.75,60.75,45.75
L12,lobby,ceiling tiles,L5,,,,5,,,,,,,5,20,25,35.5,30.5,10.5
L13,lobby,doors and hardware,L12,L10,,,10,,,,,,,10,25,35,45.5,35.5,10.5
L14,lobby,MEP,L12,L10,,,10,,,,,,,10,25,35,45.5,35.5,10.5
L15,lobby,cleanup and ACI punch list,P10,,,,1,,,,,,,1,38.5,39.5,46.5,45.5,7
P0,overall,Now,,,,,,,,,,,09/24/2009,0,0,0,0,0,0
P2,overall,Architect’s punch list tasks,P5,,,,,5,10,,,,,7.5,55.5,63,63,55.5,0
P3,overall,Inform architect of close out responsibilities,P0,,,,,,,,,,,0,0,0,29.5,29.5,29.5
P4,overall,Items completed by architecture firm,P3,,,,,14,28,,,,,21,0,21,50.5,29.5,29.5
P5,overall,fire marshal’s inspection,P9,P4,,,5,,,,,,,5,50.5,55.5,55.5,50.5,0
P6,overall,sign general guarantee and warranty,P2,,,,,0.5,1,,,,,0.75,63,63.75,63.75,63,0
P7,overall,sign final release of lien,P2,,,,,,,,,,,0,63,63,63.75,63.75,0.75
P9,overall,cleanup and ACI punch list,P15,,,,4,,,,,,,4,46.5,50.5,50.5,46.5,0
P10,overall,lobby done except cleanup and ACI punch list,L14,L13,L9,,,,,,,,,0,38.5,38.5,45.5,45.5,7
P11,overall,sanctuary done except cleanup and ACI punch list,S11,S12,S9.2,S5,,,,,,,,0,37.5,37.5,45.5,45.5,8
P12,overall,terrace done except cleanup and ACI punch list,T7,,,,,,,,,,,0,45.5,45.5,45.5,45.5,0
P14,overall,bookstore done except cleanup and ACI punch list,B9,B10,,,,,,,,,,0,41,41,45.5,45.5,4.5
P15,overall,all sections done,L15,S13,B11,T8,,,,,,,,0,46.5,46.5,46.5,46.5,0
P16,overall,occupancy permitted,P5,,,,,,,yes,,,,0,55.5,55.5,63.75,63.75,8.25
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Project Finish,63.75,,,,,
